"order_id","customer_id","product_id","quantity","order_ts","discount","channel","note"
"1","49","25","5","2024-03-16T15:39:05.000000","0.26","store","gift "
"2","109","18","5","2024-03-16T22:09:03.000000","0.11","app","urgent"
"3","193","37","2","2024-03-17T20:54:07.000000","0.13","web","Gift"
"4","190","21","1","2024-02-27T09:11:29.000000","","app"," OK "
"5","71","23","4","2024-02-20T01:20:02.000000","0.05","app","Gift"
"6","6","29","4","2024-02-28T10:09:43.000000","","app"," OK "
"7","1","33","4","2024-02-06T14:42:10.000000","0.13","store","gift "
"8","1","21","2","2024-03-01T07:38:20.000000","0.0","web"," OK "
"9","157","29","1","2024-03-12T11:59:46.000000","0.29","web"," OK "
"10","148","33","5","2024-03-09T15:52:13.000000","0.24","web","gift "
"11","166","22","3","2024-02-25T05:52:24.000000","0.22","app","Gift"
"12","28","29","5","2024-01-06T05:30:51.000000","0.26","web","return?"
"13","12","15","5","2024-03-06T05:53:26.000000","0.27","web","urgent"
"14","35","15","3","2024-02-02T23:52:26.000000","","web","Gift"
"15","126","1","2","2024-03-07T22:19:16.000000","0.18","app","urgent"
"16","2","27","5","2024-02-18T13:22:45.000000","0.18","web","return?"
"17","133","11","4","2024-03-20T07:21:40.000000","0.08","web","VIP"
"18","178","33","4","2024-01-31T11:03:57.000000","0.07","web","urgent"
"19","30","39","5","2024-03-24T19:48:41.000000","0.03","web","urgent"
"20","148","36","2","2024-03-17T00:04:27.000000","","web","urgent"
"21","111","12","2","2024-01-30T19:11:28.000000","0.23","web","urgent"
"22","189","27","1","2024-02-13T10:21:23.000000","","app","urgent"
"23","49","31","2","2024-02-17T19:42:42.000000","0.09","web","VIP"
"24","46","21","3","2024-03-10T04:14:08.000000","0.06","web","gift "
"25","4","21","3","2024-03-03T00:34:46.000000","0.14","app","Gift"
"26","142","18","1","2024-03-17T16:21:12.000000","0.16","web","urgent"
"27","174","13","5","2024-02-03T06:54:51.000000","","web","urgent"
"28","4","23","3","2024-02-15T10:20:58.000000","0.26","web","gift "
"29","99","40","3","2024-02-08T18:40:04.000000","","web","VIP"
"30","145","9","5","2024-03-22T20:37:58.000000","0.26","app","gift "
"31","157","2","3","2024-01-28T10:45:29.000000","0.29","store","  "
"32","187","3","5","2024-02-22T20:11:15.000000","","web","urgent"
"33","145","24","2","2024-01-11T19:33:31.000000","0.01","app","return?"
"34","185","11","5","2024-03-17T12:35:32.000000","","store","VIP"
"35","199","19","5","2024-02-04T13:54:38.000000","0.12","web","return?"
"36","186","39","4","2024-01-31T15:40:34.000000","0.08","app","  "
