"product_id","product_name","category","unit_price"
"1","prod_001","books","57.97"
"2","prod_002","grocery","25.92"
"3","prod_003","grocery","34.76"
"4","prod_004","grocery","23.71"
"5","prod_005","toys","22.15"
"6","prod_006","electronics","15.37"
"7","prod_007","home","31.76"
"8","prod_008","home","14.72"
"9","prod_009","grocery","36.57"
"10","prod_010","books","47.05"
"11","prod_011","books","30.57"
"12","prod_012","electronics","20.66"
"13","prod_013","grocery","32.21"
"14","prod_014","toys","20.38"
"15","prod_015","electronics","43.01"
"16","prod_016","home","8.18"
"17","prod_017","home","20.06"
"18","prod_018","home","7.43"
"19","prod_019","grocery","10.0"
"20","prod_020","electronics","55.61"
"21","prod_021","books","41.98"
"22","prod_022","electronics","15.93"
"23","prod_023","books","9.96"
"24","prod_024","grocery","4.14"
"25","prod_025","grocery","17.71"
"26","prod_026","electronics","104.82"
"27","prod_027","toys","31.85"
"28","prod_028","books","17.54"
"29","prod_029","electronics","32.43"
"30","prod_030","books","9.62"
"31","prod_031","electronics","20.52"
"32","prod_032","home","26.04"
"33","prod_033","grocery","23.3"
"34","prod_034","home","39.43"
"35","prod_035","toys","30.17"
"36","prod_036","home","36.63"
"37","prod_037","electronics","16.23"
"38","prod_038","electronics","42.04"
"39","prod_039","books","65.19"
"40","prod_040","books","13.71"
